,OPTIMIZER,learning_rate,score
196,elta.Adadelta,0.9595963636363636,[[305.95595161]]
197,elta.Adadelta,0.9696972727272727,[[2259.35686088]]
198,elta.Adadelta,0.9797981818181818,[[1594.91571802]]
199,elta.Adadelta,0.9898990909090909,[[421.61211706]]
200,elta.Adadelta,1.0,[[353.34044493]]
201,_v2.adam.Adam,1e-05,[[335.22331808]]
202,_v2.adam.Adam,0.01011090909090909,[[399.08481011]]
203,_v2.adam.Adam,0.02021181818181818,[[1292.86748831]]
204,_v2.adam.Adam,0.030312727272727272,[[467.12763238]]
205,_v2.adam.Adam,0.04041363636363637,[[348.42690028]]
206,_v2.adam.Adam,0.05051454545454546,[[373.90426822]]
207,_v2.adam.Adam,0.06061545454545455,[[379.75687139]]
208,_v2.adam.Adam,0.07071636363636363,[[421.61321237]]
209,_v2.adam.Adam,0.08081727272727272,[[360.09835851]]
210,_v2.adam.Adam,0.09091818181818181,[[333.03387661]]
211,_v2.adam.Adam,0.1010190909090909,[[375.35224123]]
212,_v2.adam.Adam,0.11112,[[376.03385024]]
213,_v2.adam.Adam,0.12122090909090909,[[370.51955807]]
214,_v2.adam.Adam,0.1313218181818182,[[1323.06018169]]
215,_v2.adam.Adam,0.14142272727272728,[[421.8701201]]
216,_v2.adam.Adam,0.15152363636363636,[[525.21204361]]
217,_v2.adam.Adam,0.16162454545454547,[[411.62291334]]
218,_v2.adam.Adam,0.17172545454545457,[[508.40731741]]
219,_v2.adam.Adam,0.18182636363636365,[[315.14535304]]
220,_v2.adam.Adam,0.19192727272727272,[[345.20971312]]
221,_v2.adam.Adam,0.20202818181818183,[[355.77190933]]
222,_v2.adam.Adam,0.21212909090909093,[[316.42758631]]
223,_v2.adam.Adam,0.22223,[[396.09091006]]
224,_v2.adam.Adam,0.2323309090909091,[[331.39934872]]
225,_v2.adam.Adam,0.2424318181818182,[[299.36206882]]
226,_v2.adam.Adam,0.2525327272727273,[[323.82122043]]
227,_v2.adam.Adam,0.2626336363636364,[[901.16785905]]
228,_v2.adam.Adam,0.27273454545454545,[[369.72008277]]
229,_v2.adam.Adam,0.28283545454545456,[[411.69652574]]
230,_v2.adam.Adam,0.29293636363636366,[[306.26160056]]
231,_v2.adam.Adam,0.3030372727272727,[[352.5945174]]
232,_v2.adam.Adam,0.3131381818181818,[[426.92297346]]
233,_v2.adam.Adam,0.3232390909090909,[[301.2179636]]
234,_v2.adam.Adam,0.33334,[[316.31685575]]
235,_v2.adam.Adam,0.34344090909090913,[[330.55974753]]
236,_v2.adam.Adam,0.3535418181818182,[[339.09263108]]
237,_v2.adam.Adam,0.3636427272727273,[[655.76274003]]
238,_v2.adam.Adam,0.3737436363636364,[[307.37789139]]
239,_v2.adam.Adam,0.38384454545454544,[[338.00470431]]
240,_v2.adam.Adam,0.39394545454545454,[[869.99035635]]
241,_v2.adam.Adam,0.40404636363636365,[[323.07768931]]
242,_v2.adam.Adam,0.41414727272727275,[[578.94332819]]
243,_v2.adam.Adam,0.42424818181818186,[[517.30762075]]
244,_v2.adam.Adam,0.4343490909090909,[[385.51560607]]
245,_v2.adam.Adam,0.44445,[[392.27402607]]
246,_v2.adam.Adam,0.4545509090909091,[[310.88072491]]
247,_v2.adam.Adam,0.46465181818181817,[[364.28279175]]
248,_v2.adam.Adam,0.47475272727272727,[[336.16304672]]
249,_v2.adam.Adam,0.4848536363636364,[[435.17800974]]
250,_v2.adam.Adam,0.4949545454545455,[[359.59310392]]
251,_v2.adam.Adam,0.5050554545454545,[[480.55958984]]
252,_v2.adam.Adam,0.5151563636363636,[[360.94717934]]
253,_v2.adam.Adam,0.5252572727272727,[[342.20538291]]
254,_v2.adam.Adam,0.5353581818181817,[[592.45012407]]
255,_v2.adam.Adam,0.5454590909090908,[[1272.71850362]]
256,_v2.adam.Adam,0.5555599999999999,[[320.58597399]]
257,_v2.adam.Adam,0.565660909090909,[[386.13188647]]
258,_v2.adam.Adam,0.5757618181818182,[[5059.18186172]]
259,_v2.adam.Adam,0.5858627272727273,[[421.71166788]]
260,_v2.adam.Adam,0.5959636363636364,[[342.6950299]]
261,_v2.adam.Adam,0.6060645454545454,[[334.06567874]]
262,_v2.adam.Adam,0.6161654545454545,[[315.71358306]]
263,_v2.adam.Adam,0.6262663636363636,[[500.04011794]]
264,_v2.adam.Adam,0.6363672727272727,[[356.9290521]]
265,_v2.adam.Adam,0.6464681818181818,[[350.55843813]]
266,_v2.adam.Adam,0.6565690909090909,[[322.00700438]]
267,_v2.adam.Adam,0.66667,[[464.84864753]]
268,_v2.adam.Adam,0.6767709090909091,[[341.06470667]]
269,_v2.adam.Adam,0.6868718181818182,[[531.56601995]]
270,_v2.adam.Adam,0.6969727272727272,[[430.8911767]]
271,_v2.adam.Adam,0.7070736363636363,[[351.05438239]]
272,_v2.adam.Adam,0.7171745454545454,[[462.03780574]]
273,_v2.adam.Adam,0.7272754545454545,[[315.66424104]]
274,_v2.adam.Adam,0.7373763636363636,[[360.24268127]]
275,_v2.adam.Adam,0.7474772727272727,[[2284.24945052]]
276,_v2.adam.Adam,0.7575781818181818,[[345.91837688]]
277,_v2.adam.Adam,0.7676790909090908,[[858.56593305]]
278,_v2.adam.Adam,0.7777799999999999,[[420.13460519]]
279,_v2.adam.Adam,0.787880909090909,[[590.54910618]]
280,_v2.adam.Adam,0.7979818181818181,[[379.67288669]]
281,_v2.adam.Adam,0.8080827272727272,[[928.8589803]]
282,_v2.adam.Adam,0.8181836363636363,[[310.33279776]]
283,_v2.adam.Adam,0.8282845454545454,[[623.08093385]]
284,_v2.adam.Adam,0.8383854545454545,[[372.288663]]
285,_v2.adam.Adam,0.8484863636363636,[[551.82416634]]
286,_v2.adam.Adam,0.8585872727272726,[[1964.37596386]]
287,_v2.adam.Adam,0.8686881818181817,[[3846.09342176]]
288,_v2.adam.Adam,0.8787890909090909,[[2290.63872345]]
289,_v2.adam.Adam,0.88889,[[319.86114022]]
290,_v2.adam.Adam,0.8989909090909091,[[697.88082457]]
291,_v2.adam.Adam,0.9090918181818182,[[340.17071117]]
292,_v2.adam.Adam,0.9191927272727273,[[311.06840967]]
293,_v2.adam.Adam,0.9292936363636363,[[377.52219714]]
294,_v2.adam.Adam,0.9393945454545454,[[305.81039879]]
295,_v2.adam.Adam,0.9494954545454545,[[633.8046916]]
296,_v2.adam.Adam,0.9595963636363636,[[305.62490841]]
297,_v2.adam.Adam,0.9696972727272727,[[345.83028045]]
298,_v2.adam.Adam,0.9797981818181818,[[310.11206477]]
